Gesamt;;;;;;;;;;;;;;;;;;
;"Einsätze 
in Tagen";"Gemessene 
Fahrzeuge";"Beanstandungen 
gesamt";"gültige
Beanstandungen ";Verwarnungen;Bußgelder;"<11 
km/h";"11-15 
km/h";"16-20 
km/h";"21-25 
km/h";"26-30 
km/h";"31-40 
km/h";"41-50 
km/h";"51-60 
km/h";"61-70 
km/h";">70 
km/h";"schnellstes 
Fahrzeug";"voraussichtliche 
Einnahmen"
Januar;162;644.822;2.638;2.262;2.223;39;1.753;377;93;31;5;3;0;0;0;0;85;42.435 €
Februar;141;453.517;1.502;1.307;1.282;25;1.019;221;42;19;3;3;0;0;0;0;83;24.580 €
März;160;609.189;1.697;1.413;1.385;28;1.097;224;64;19;7;2;0;0;0;0;87;26.835 €
April;166;543.587;2.175;1.746;1.722;24;1.370;295;57;17;4;2;1;0;0;0;104;32.200 €
Mai;184;1.063.749;3.604;2.976;2.926;50;2.288;511;128;36;7;6;0;0;0;0;97;56.115 €
Juni;198;1.108.142;3.536;2.945;2.897;48;2.261;507;130;31;7;8;1;0;0;0;105;55.800 €
Juli;156;864.794;2.784;2.345;2.312;33;1.805;414;93;20;7;5;0;1;0;0;118;44.060 €
August;149;637.453;1.554;1.230;1.218;12;1.012;169;37;8;2;1;1;0;0;0;98;21.900 €
September;133;759.995;2.400;2.043;1.990;53;1.510;376;104;26;16;10;1;0;0;0;104;41.170 €
Oktober;180;1.240.939;4.756;3.860;3.726;134;2.709;793;224;86;24;20;3;1;0;0;111;74.320 €
November;155;1.092.858;3.428;2.695;2.427;268;520;1.437;471;176;53;33;3;2;0;0;117;31.575 €
Dezember;101;438.475;728;610;602;8;481;102;19;5;2;1;0;0;0;0;81;11.190 €
Gesamt;1.885;9.457.520;30.802;25.432;24.710;722;17.825;5.426;1.462;474;137;94;10;4;0;0;118;462.180
;;;;;;;;;;;;;;;;;;
Untere Laube               50 km/h;;;;;;;;;;;;;;;;;;
;"Einsätze 
in Tagen";"Gemessene 
Fahrzeuge";"Beanstandungen 
gesamt";"gültige
Beanstandungen ";Verwarnungen;Bußgelder;"<11 
km/h";"11-15 
km/h";"16-20 
km/h";"21-25 
km/h";"26-30 
km/h";"31-40 
km/h";"41-50 
km/h";"51-60 
km/h";"61-70 
km/h";">70 
km/h";"schnellstes 
Fahrzeug";"voraussichtliche 
Einnahmen"
Januar;31;249.047;270;236;229;7;185;34;10;5;0;2;0;0;0;0;85;4.695 €
Februar;28;166.101;140;118;115;3;95;14;6;2;0;1;0;0;0;0;81;2.305 €
März;31;227.925;97;85;85;0;69;13;3;0;0;0;0;0;0;0;69;1.465 €
April;8;31.824;23;14;14;0;14;0;0;0;0;0;0;0;0;0;60;210 €
Mai;24;41.194;36;28;28;0;19;7;2;0;0;0;0;0;0;0;67;530 €
Juni;33;11.646;6;5;5;0;4;1;0;0;0;0;0;0;0;0;62;85 €
Juli;11;87.014;59;45;43;2;31;7;5;1;0;1;0;0;0;0;82;1.055 €
August;19;169.116;120;99;99;0;81;11;7;0;0;0;0;0;0;0;68;1.735 €
September;7;117.762;83;66;64;2;55;6;3;1;1;0;0;0;0;0;79;1.260 €
Oktober;16;46.815;24;14;13;1;11;2;0;1;0;0;0;0;0;0;72;295 €
November;21;63.193;29;20;20;0;15;3;2;0;0;0;0;0;0;0;66;370 €
Dezember;35;58.590;32;29;27;2;19;6;2;1;1;0;0;0;0;0;77;685 €
Gesamt;264;1.270.227;919;759;742;17;598;104;40;11;2;4;0;0;0;0;85;14.690 €
;;;;;;;;;;;;;;;;;;
Gartenstraße               30 km/h;;;;;;;;;;;;;;;;;;
;"Einsätze 
in Tagen";"Gemessene 
Fahrzeuge";"Beanstandungen 
gesamt";"gültige
Beanstandungen ";Verwarnungen;Bußgelder;"<11 
km/h";"11-15 
km/h";"16-20 
km/h";"21-25 
km/h";"26-30 
km/h";"31-40 
km/h";"41-50 
km/h";"51-60 
km/h";"61-70 
km/h";">70 
km/h";"schnellstes 
Fahrzeug";"voraussichtliche 
Einnahmen"
Januar;32;95.752;187;160;159;1;141;15;3;1;0;0;0;0;0;0;52;2.675 €
Februar;28;39.193;83;62;62;0;52;10;0;0;0;0;0;0;0;0;44;1.030 €
März;33;79.133;113;86;86;0;79;7;0;0;0;0;0;0;0;0;44;1.360 €
